Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
757f70a2-10dc-4671-b391-280439e3cc00,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,#N/A,998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
b35470fa-b45d-4032-a4ea-81cc11c0cf39,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,#N/A,912.0,onQuickSave,#N/A,#N/A,Quick Save,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
56911fbc-bd30-45f7-a19e-151633d3d2cf,Generate Document,Generate Document,true,false,#N/A,All,false,#N/A,913.0,#N/A,#N/A,#N/A,Generate Document,Quote Panel,GenerateDocument,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
ab709f69-d038-4633-b6f8-fb41c9f5a8ac,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,#N/A,996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
72f01145-e356-4cce-a750-25c237d3abe6,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,#N/A,991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
6331f215-03bb-40e0-b725-e92da1fbd266,Add Group,Add Group,true,false,addGroupBtn,All,false,#N/A,905.0,onAddGroup,#N/A,#N/A,Add Group,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
d60c43b2-8021-42d6-97ce-a8f738df934a,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,#N/A,952.0,updateLineOptional,#N/A,#N/A,Optional: All,Group,#N/A,Quote Line Editor,d4c345c2-3f88-4bb6-8545-36cb7d460f73,#N/A,#N/A,Button,#N/A,#N/A
d31fac5b-0f83-4c46-95c5-690b440a2257,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,#N/A,994.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
a8866a14-8dcc-4b33-b44c-183ce802b156,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,#N/A,953.0,updateLineOptional,#N/A,#N/A,Optional: None,Group,#N/A,Quote Line Editor,d4c345c2-3f88-4bb6-8545-36cb7d460f73,#N/A,#N/A,Button,#N/A,#N/A
4911c517-2831-490b-9bb7-4a80421af26d,Separator,#N/A,true,false,#N/A,All,false,#N/A,914.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
2fa16118-3c1e-4be1-9455-047aca33fd91,Delete Line,Delete Line,true,false,deleteBtn,All,false,#N/A,994.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
9ed83600-935e-4c1f-af07-13474df9db0c,Include Document,Include Document,true,false,#N/A,All,false,#N/A,940.0,#N/A,#N/A,#N/A,Include Document,Opportunity Panel,NewOpportunityRelatedContent,Opportunity Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
61e13c69-ecba-43f8-a96f-5dc0fcf4ace2,Amend,Amend,true,false,#N/A,All,false,#N/A,930.0,#N/A,#N/A,#N/A,Amend,Contract Panel,AmendContract,Contract Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
4f2dd712-f1ab-4042-8247-25db02b1b555,Preview Approval,#N/A,true,false,#N/A,All,false,#N/A,917.0,#N/A,#N/A,#N/A,Preview Approval,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,Popup,/apex/sbaa__PreviewApprovals?id={!Id}&isdtp=vw&hideSubmit=1
77c689b9-b877-489c-b171-fc03562d66ba,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,#N/A,103.0,onRenewSubscriptions,#N/A,#N/A,Renew Subscriptions,Quote/Group,#N/A,Quote Line Editor,f1414a87-fd2f-4326-a327-51faa8e54278,#N/A,#N/A,Button,#N/A,#N/A
d4c345c2-3f88-4bb6-8545-36cb7d460f73,Add Products,Add Products,true,false,addProductsBtn,All,false,#N/A,900.0,onAddProducts,#N/A,#N/A,Add Products,Quote/Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
a1bb951e-ee8d-4acf-a36b-d4095e70da23,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,#N/A,950.0,onResetDiscounts,#N/A,#N/A,Reset Discounts,Group,#N/A,Quote Line Editor,f1414a87-fd2f-4326-a327-51faa8e54278,#N/A,#N/A,Button,#N/A,#N/A
496d9848-91fc-4bb2-ae95-5e2996b86f97,Add Group,Add Group,true,false,addGroupBtn,All,false,#N/A,110.0,onAddGroup,#N/A,#N/A,Add Group,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
f1414a87-fd2f-4326-a327-51faa8e54278,Add Products,Add Products,true,false,addProductsBtn,All,true,#N/A,100.0,onAddProducts,#N/A,#N/A,Add Products,Quote/Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
95e90811-6954-4f8a-a835-a06929280258,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,#N/A,101.0,onAddFavorites,#N/A,#N/A,Add Favorites,Quote/Group,#N/A,Quote Line Editor,f1414a87-fd2f-4326-a327-51faa8e54278,#N/A,#N/A,Button,#N/A,#N/A
ee26c401-61e7-4dbe-9b81-ee37c9b41d44,Separator,#N/A,true,false,#N/A,All,false,#N/A,130.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
5049b401-18b9-49f8-ab21-f5c54dcaf8e7,Reset Discounts - Quote,Reset Discounts,false,false,resetDiscBtn,All,false,#N/A,908.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
9165c458-753a-4366-b66a-d4d35654b315,Import Lines,Import Lines,true,false,#N/A,All,false,#N/A,914.0,#N/A,#N/A,#N/A,Import Lines,Quote Panel,ImportLines,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
